face,xmin,ymin,zmin,xmax,ymax,zmax,cx,cy,cz
Xm,-1690.0000001000633,1141.6666666332824,-1450.000000099997,-1589.9999999000368,1408.3333333666174,-69.99999989999529,-1640.00000000005,1274.99999999995,-759.9999999999961
Xm,-1690.0000001000633,1418.3333333666174,-1450.000000099997,-1589.9999999000368,1685.0000000999526,-69.99999989999529,-1640.00000000005,1551.666666733285,-759.9999999999961
Xm,-1690.0000000999519,-1565.0000001000003,-1450.0000001000194,-1589.999999899948,-1275.0000000333334,-69.99999990001865,-1639.99999999995,-1420.0000000666669,-760.000000000019
Xm,-1690.0000000999519,-1265.0000000333334,-1450.0000001000194,-1589.999999899948,-974.9999999666667,-69.99999990001865,-1639.99999999995,-1120.0,-760.000000000019
Xm,-1690.0000000999519,-964.9999999666667,-1450.0000001000194,-1589.999999899948,-674.9999998999999,-69.99999990001865,-1639.99999999995,-819.9999999333334,-760.000000000019
Xm,-1690.0000000999519,-235.00000010000207,-1450.0000001000003,-1589.999999899948,-5.000000000002075,-69.99999989999984,-1639.99999999995,-120.00000005000207,-760.0000000000001
Xm,-1690.0000000999519,4.999999999997925,-1450.0000001000003,-1589.999999899948,235.00000009999792,-69.99999989999984,-1639.99999999995,120.00000004999792,-760.0000000000001
Xm,-1690.000000100054,264.9999998999464,-830.000000099997,-1589.999999900046,544.999999999948,-69.99999989999506,-1640.00000000005,404.9999999499472,-449.999999999996
Xm,-1690.000000100054,554.999999999948,-830.000000099997,-1589.999999900046,835.0000000999497,-69.99999989999506,-1640.00000000005,695.0000000499489,-449.999999999996
Xm,-1690.0000000999512,-645.0000001000017,-830.0000000999435,-1589.9999998999488,-264.9999999000004,-69.99999989994248,-1639.99999999995,-455.000000000001,-449.999999999943
Ym,-1290.000000099956,-1690.0000000999912,-825.0000001000108,-309.99999989995194,-1589.9999998999688,-455.00000000001,-799.999999999954,-1639.99999999998,-640.0000000500104
Ym,-1290.000000099956,-1690.0000000999912,-445.00000000001,-309.99999989995194,-1589.9999998999688,-74.99999990000924,-799.999999999954,-1639.99999999998,-259.9999999500096
Zp,-1690.000000099931,989.9999998999916,-50.0000001,682.8198904250321,1332.499999999996,50.0000001,-503.59005483744943,1161.2499999499937,0.0
Zp,-1690.000000099931,1342.499999999996,-50.0000001,682.8198904250321,1685.0000001000003,50.0000001,-503.59005483744943,1513.750000049998,0.0
Zp,-1690.0000000999341,264.99999989999344,-50.0000001,264.24094526254913,607.4999999999968,50.0000001,-712.8795274186925,436.24999994999513,0.0
Zp,-1690.0000000999341,617.4999999999968,-50.0000001,264.24094526254913,960.0000001000002,50.0000001,-712.8795274186925,788.7500000499986,0.0
Zp,-2094.3380000999514,-235.00000010000204,-50.0000001,-154.33799989995035,-4.999999999999744,50.0000001,-1124.3379999999509,-120.00000005000089,0.0
Zp,-2094.3380000999514,5.000000000000256,-50.0000001,-154.33799989995035,235.00000010000255,50.0000001,-1124.3379999999509,120.0000000500014,0.0
Zp,-129.33735104613325,-1937.4101662488968,-50.0000001,208.9158244769208,-10.000374631395596,50.0000001,39.78923671539377,-973.7052704401461,0.0
Zp,218.9158244769208,-1937.4101662488968,-50.0000001,557.1689999999749,-10.000374631395596,50.0000001,388.0424122384478,-973.7052704401461,0.0
Zp,567.1689999999749,-1937.4101662488968,-50.0000001,905.4221755230288,-10.000374631395596,50.0000001,736.2955877615018,-973.7052704401461,0.0
Zp,915.4221755230288,-1937.4101662488968,-50.0000001,1253.6753510460828,-10.000374631395596,50.0000001,1084.548763284556,-973.7052704401461,0.0
Zp,-129.33735104613518,10.00037463139571,-50.0000001,208.91582447692056,1937.410166248894,50.0000001,39.78923671539269,973.7052704401449,0.0
Zp,218.91582447692056,10.00037463139571,-50.0000001,557.1689999999763,1937.410166248894,50.0000001,388.04241223844843,973.7052704401449,0.0
Zp,567.1689999999763,10.00037463139571,-50.0000001,905.4221755230321,1937.410166248894,50.0000001,736.2955877615043,973.7052704401449,0.0
Zp,915.4221755230321,10.00037463139571,-50.0000001,1253.6753510460878,1937.410166248894,50.0000001,1084.54876328456,973.7052704401449,0.0
