idx,cx,cy,cz,xmin,ymin,zmin,xmax,ymax,zmax,dx,dy,dz,vol_mm3
33,1661.692040673846,-1358.9184405196263,-760.000000000006,1643.3840812476546,-1359.418440619627,-1426.6159187523872,1680.000000100037,-1358.4184404196255,-93.38408124762488,36.615918852382265,1.000000200001523,1333.2318375047623,1071.8369515205923
34,1663.4935189455773,-1356.4999999999393,-760.000000000006,1646.9870377911177,-1357.00000009994,-1423.0129622089241,1680.0000001000367,-1355.9999998999385,-96.9870377910879,33.012962308918986,1.000000200001523,1326.0259244178362,1063.6237188893895
35,1665.2949972173087,-1358.9184405196263,-760.0000000000061,1650.5899943345805,-1359.418440619627,-1419.4100056654613,1680.000000100037,-1358.4184404196255,-100.58999433455092,29.41000576545639,1.000000200001523,1318.8200113309103,1055.4104862574277
36,1664.6068937475015,-1362.8315594802514,-760.0000000000061,1649.2137873949664,-1363.3315595802521,-1420.7862126050754,1680.000000100037,-1362.3315593802506,-99.21378739493679,30.78621270507051,1.000000200001523,1321.5724252101386,1058.5476619657704
37,1665.2949972173087,-1361.0815594802514,-760.0000000000061,1650.5899943345805,-1361.5815595802521,-1419.4100056654613,1680.000000100037,-1360.5815593802506,-100.58999433455092,29.41000576545639,1.000000200001523,1318.8200113309103,1055.4104862574252
38,1664.6068937475015,-1357.1684405196263,-760.0000000000061,1649.2137873949664,-1357.668440619627,-1420.7862126050754,1680.0000001000367,-1356.6684404196255,-99.21378739493679,30.786212705070284,1.000000200001523,1321.5724252101386,1058.5476619657713
39,1662.3801441436526,-1357.1684405196263,-760.000000000006,1644.7602881872688,-1357.668440619627,-1425.239711812773,1680.0000001000367,-1356.6684404196255,-94.76028818723901,35.239711912767916,1.000000200001523,1330.479423625534,1068.6997758131276
40,1661.692040673846,-1361.0815594802514,-760.000000000006,1643.3840812476546,-1361.5815595802521,-1426.6159187523872,1680.000000100037,-1360.5815593802506,-93.38408124762488,36.615918852382265,1.000000200001523,1333.2318375047623,1071.8369515205839
41,1663.4935189455773,-1363.4999999999393,-760.000000000006,1646.9870377911177,-1364.00000009994,-1423.0129622089241,1680.000000100037,-1362.9999998999385,-96.9870377910879,33.012962308919214,1.000000200001523,1326.0259244178362,1063.6237188893842
42,1661.9610899975,-1362.0572483829624,-760.0000000000061,1643.9221798949634,-1362.5572484829631,-1426.0778201050784,1680.000000100037,-1361.5572482829616,-93.92217989493378,36.07782020507352,1.000000200001523,1332.1556402101446,1070.6103118663402
43,1661.9610899975,-1357.9427516169153,-760.0000000000061,1643.9221798949634,-1358.442751716916,-1426.0778201050784,1680.0000001000367,-1357.4427515169145,-93.92217989493378,36.077820205073294,1.000000200001523,1332.1556402101446,1070.6103118663502
44,1664.0788547183984,-1356.6713021929063,-760.0000000000061,1648.15770933676,-1357.171302292907,-1421.842290663282,1680.0000001000367,-1356.1713020929055,-98.15770933673024,31.84229076327665,1.000000200001523,1323.6845813265518,1060.9550778372295
45,1665.3877052960888,-1359.9999999999393,-760.000000000006,1650.775410492141,-1360.50000009994,-1419.2245895079009,1680.000000100037,-1359.4999998999385,-100.77541049211118,29.22458960789595,1.000000200001523,1318.4491790157897,1054.9878150380223
46,1664.0788547183984,-1363.3286978069723,-760.0000000000061,1648.15770933676,-1363.828697906973,-1421.842290663282,1680.000000100037,-1362.8286977069715,-98.15770933673024,31.84229076327688,1.000000200001523,1323.6845813265518,1060.955077837224
47,1709.9999999999432,-1359.9999999999386,-100.00000000002912,1699.9999998994751,-1394.0000000999446,-134.000000100035,1720.000000100411,-1325.9999998999326,-65.99999990002323,20.0000002009358,68.00000020001198,68.00000020001178,38492.860403223596
48,1701.4000000000206,-1359.9999999999386,-100.00000000002913,1699.9999999000195,-1391.3445312824051,-131.34453128249555,1702.8000001000216,-1328.655468717472,-68.65546871756271,2.8000002000021595,62.68906256493301,62.68906256493284,1708.2801146081592
49,1708.4999999996562,-1359.9999999999377,-100.0000000000291,1690.9999998992898,-1394.000000099938,-134.0000001000291,1726.0000001000228,-1325.9999998999376,-65.99999990002911,35.000000200732984,68.00000020000039,68.00000019999999,36891.35208531697
50,1715.7500000000205,-1359.9999999999382,-100.00000000002912,1713.6999999000197,-1387.2423946511424,-127.24239465123316,1717.8000001000212,-1332.757605348734,-72.75760534882508,4.100000200001432,54.484789302408444,54.484789302408075,1466.2523957513386
51,1695.5500000000204,-1359.9999999999388,-100.00000000002913,1694.4999999000202,-1367.9939073813732,-107.99390738146352,1696.6000001000207,-1352.0060926185045,-92.00609261859475,2.1000002000005225,15.987814762868766,15.987814762868766,168.17644551047877
52,1697.7500000000205,-1359.9999999999386,-100.00000000002913,1696.6999999000202,-1367.993907381373,-107.99390738146352,1698.8000001000207,-1352.0060926185042,-92.00609261859475,2.1000002000005225,15.987814762868766,15.987814762868766,168.1764455205381
53,1714.900000000021,-1359.9999999999377,-100.00000000002909,1698.7946285280545,-1396.5053225551433,-136.5053225567828,1731.0053714719877,-1323.4946774447321,-63.494677443275386,32.210742943933155,73.01064511041113,73.01064511350742,19297.27161875486
