idx,face,xmin,ymin,zmin,xmax,ymax,zmax,cx,cy,cz,vol_L
45,Zp,-144.3373510461386,-1947.410166248889,-50.000000099825,1268.6753510460806,-0.00037463138900168123,50.000000100175,562.5615043843377,-974.3851079760553,29.456819729297486,14.128382748764947
51,Zp,-144.3373510461379,0.00037463138820587337,-50.000000099825,1268.675351046082,1947.410166248888,50.000000100175,562.5615043843384,974.3851079760543,29.456819729297532,14.128382748764928
57,Yp,-1300.000000099935,1599.999999899998,-1450.0000000999635,-189.99999989993302,1700.000000100002,-1199.9999998999563,-744.9999999999338,1671.7495662232504,-1324.99999999996,5.187
59,Zm,1199.9999999000354,-1600.000000099989,-1450.0000000999505,1600.0000001000647,1600.0000001000149,-1349.9999998999494,1400.00000000005,1.2758469676460766e-11,-1399.99999999995,31.327999999999985
60,Zm,-1600.0000000999646,-1600.000000099989,-1450.0000000999505,-1199.9999998999353,1600.0000001000149,-1349.9999998999494,-1399.99999999995,1.2758469676460766e-11,-1399.99999999995,31.327999999999985
61,Zm,-1200.0000000999628,-1600.000000099981,-1450.0000000999526,1200.000000100041,-1199.999999899959,-1349.9999998999474,3.92686112965846e-11,-1399.99999999997,-1399.99999999995,23.648
62,Zm,-1200.000000099964,1199.999999900019,-1450.0000000999526,1200.0000001000399,1600.000000100041,-1349.9999998999474,3.7890734734547475e-11,1400.00000000003,-1399.99999999995,23.648000000000028
63,Zp,288.6749999000524,-1700.0000000999867,-50.00000009994995,1700.0000001000528,1.0002461320036673e-07,50.000000100051466,1188.7540643904536,-696.7617787334377,32.46068557960941,20.674759912379173
68,Zp,288.6749999000524,-1.0002461320036673e-07,-50.00000009995395,1700.0000001000528,1700.0000000999867,50.000000100047465,1188.7540643904538,696.7617787334373,32.46068557960541,20.67475991237918
73,Zp,-1700.0000000999544,-1700.000000100015,-50.00000009995245,692.8198904250057,-974.9999999000058,50.000000100053065,-597.8341321359334,-1355.9443196745838,33.18703934955521,20.932549703069775
75,Zp,-1700.0000000999523,-975.0000001000138,-50.000000099953176,274.2409452625282,-249.99999990000575,50.0000001000515,-808.3749773732268,-626.8755730472944,32.77163055980729,17.144987599618617
77,Ym,-1700.0000000999617,-1700.000000100001,-1450.0000000999687,-1299.9999998999583,-1599.999999899999,-49.9999998999676,-1499.99999999996,-1650.0,-749.9999999999682,14.048
78,Ym,-1300.0000000999696,-1700.00000009998,-1450.000000099965,700.0000001000316,-1599.99999989998,-1199.999999899955,-299.99999999996913,-1649.99999999998,-1324.99999999996,13.567999999999996
79,Ym,699.9999999000264,-1700.000000099981,-1450.0000000999537,1700.0000001000337,-1599.9999998999788,-49.9999998999485,1200.0000000000302,-1649.99999999998,-749.9999999999509,31.807999999999986
80,Ym,-300.000000099969,-1700.0000001,-830.0000000999585,700.0000001000349,-1599.9999999,-49.9999998999535,200.00000000003297,-1650.0,-439.99999999995606,18.415999999999997
81,Xm,-1700.0000000999898,239.99999990000205,-1450.000000099814,-1599.9999998999701,850.0000001000038,-1199.9999998998057,-1649.99999999998,545.000000000003,-1324.99999999981,4.393999999999998
82,Ym,-1300.0000000999676,-1700.0000001,-830.0000000999574,-299.9999998999666,-1599.9999999,-49.999999899956514,-799.9999999999669,-1650.0,-439.99999999995697,18.416
83,Xm,-1700.0000000999619,-680.0000001000042,-1450.0000000998202,-1599.999999899958,-279.99999990000373,-1199.9999998998196,-1649.99999999996,-480.000000000004,-1324.99999999982,3.008000000000001
84,Zm,-9.994970067973554e-08,-9.99710240672357e-08,-1450.00000009995,1200.000000100048,1200.000000100026,-1349.9999998999474,884.0506448541225,884.0506448541015,-1399.9999999999484,10.547406465712402
85,Zm,-1200.000000100026,-9.994970067973554e-08,-1450.00000009995,9.99710240672357e-08,1200.000000100048,-1349.9999998999474,-884.0506448541015,884.0506448541225,-1399.9999999999484,10.547406465712402
86,Zm,-1200.000000100048,-1200.000000100026,-1450.00000009995,9.994970067973554e-08,9.99710240672357e-08,-1349.9999998999474,-884.0506448541225,-884.0506448541015,-1399.9999999999484,10.547406465712402
87,Zm,-9.99710240672357e-08,-1200.000000100048,-1450.00000009995,1200.000000100026,9.994970067973554e-08,-1349.9999998999474,884.0506448541015,-884.0506448541225,-1399.9999999999484,10.547406465712402
