idx,cx,cy,cz,xmin,ymin,zmin,xmax,ymax,zmax,dx,dy,dz,vol_mm3
48,645.0961894323051,-1417.339375865831,1.7500198515077718e-10,622.5961893323051,-1439.8393759658309,-40.000000099825,667.5961895323051,-1394.8393757658307,40.000000100175,45.00000019999993,45.00000020000016,80.0000002,87964.59430051416
49,304.90381056763687,-228.10889132450427,1.7500330858462863e-10,282.4038104676369,-250.60889142450426,-40.000000099825,327.40381066763695,-205.60889122450428,40.000000100175,45.000000200000045,45.00000019999999,80.0000002,87964.59430051419
50,45.096189432305266,-378.1088913245043,1.7500198515077718e-10,22.596189332305205,-400.6088914245043,-40.000000099825,67.5961895323052,-355.60889122450425,40.000000100175,45.0000002,45.000000200000045,80.0000002,87964.59430051423
51,562.5615043843384,974.3851079760543,29.456819729297532,-144.3373510461379,0.00037463138820587337,-50.000000099825,1268.675351046082,1947.410166248888,50.000000100175,1413.0127020922198,1947.4097916174996,100.0000002,14128382.748764928
52,562.768613178142,974.7438309296168,-44.999999999825,-130.67709700829263,13.660628669233086,-50.000000099825,1255.0150970082368,1933.7499122110435,-39.999999899825,1385.6921940165294,1920.0892835418103,10.000000200000002,9248382.748764778
53,645.0961894323065,1417.3393758658297,1.750006617169257e-10,622.5961893323065,1394.8393757658298,-40.000000099825,667.5961895323064,1439.83937596583,40.000000100175,45.00000019999993,45.00000020000016,80.0000002,87964.59430051416
54,904.903810567638,1267.3393758658297,1.750026468677029e-10,882.403810467638,1244.8393757658296,-40.000000099825,927.4038106676379,1289.8393759658297,40.000000100175,45.00000019999993,45.00000020000016,80.0000002,87964.59430051413
55,45.096189432306005,378.1088913245036,1.7500198515077718e-10,22.596189332306004,355.6088912245035,-40.000000099825,67.596189532306,400.60889142450355,40.000000100175,45.000000199999995,45.000000200000045,80.0000002,87964.59430051417
56,304.9038105676376,228.10889132450336,1.7500132343385143e-10,282.4038104676376,205.60889122450348,-40.000000099825,327.40381066763763,250.60889142450347,40.000000100175,45.000000200000045,45.00000019999999,80.0000002,87964.59430051417
57,-744.9999999999338,1671.7495662232504,-1324.99999999996,-1300.000000099935,1599.999999899998,-1450.0000000999635,-189.99999989993302,1700.000000100002,-1199.9999998999563,1110.000000200002,100.0000002000038,250.0000002000072,5187000.0
